dim,times
10000,0.0019
15000,0.0027
20000,0.0038
25000,0.0051
30000,0.0064
35000,0.0086
40000,0.0115
45000,0.0154
50000,0.0159
55000,0.0174
60000,0.0194
65000,0.0203
70000,0.0321
75000,0.0671
80000,0.0663
85000,0.0437
90000,0.0444
95000,0.0373
100000,0.0458
105000,0.0369
110000,0.0397
115000,0.0425
120000,0.0451
125000,0.0601
130000,0.0698
135000,0.0771
140000,0.0807
145000,0.0826
150000,0.0854
155000,0.0946
160000,0.1335
165000,0.0984
170000,0.1003
175000,0.1037
180000,0.1075
185000,0.1089
190000,0.1186
195000,0.1236
200000,0.1395
205000,0.1511
210000,0.1348
215000,0.1419
220000,0.1504
225000,0.1845
230000,0.1629
235000,0.1696
240000,0.1717
245000,0.2042
250000,0.1881
255000,0.1780
260000,0.2066
265000,0.3004
270000,0.3106
275000,0.2514
280000,0.2848
285000,0.2490
290000,0.2642
295000,0.5440
300000,0.3021
305000,0.3125
310000,0.3148
315000,0.3138
320000,0.4179
325000,0.2960
330000,0.3340
335000,0.3065
340000,0.3802
345000,0.3514
350000,0.3024
355000,0.3061
360000,0.3099
365000,0.3191
370000,0.3194
375000,0.3176
380000,0.3205
385000,0.3315
390000,0.3494
395000,0.3507
400000,0.3490
405000,0.3634
410000,0.3625
415000,0.3720
420000,0.3803
425000,0.3891
430000,0.3975
435000,0.3993
440000,0.4624
445000,0.4150
450000,0.4132
455000,0.4201
460000,0.4372
465000,0.4337
470000,0.4342
475000,0.4514
480000,0.4564
485000,0.4679
490000,0.4755
495000,0.4761
500000,0.4793
